t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
5.200000000000000000e+01, 5.000000000000000000e+01, 9.277777926799700481e+01, -3.988797971543757370e+01, -2.889799552559430662e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.351000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.300000000000000000e+01, 5.000000000000000000e+01, 9.422672457623316689e+01, -4.292614872411407845e+01, -1.300575852119088216e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.319000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.400000000000000000e+01, 5.000000000000000000e+01, 9.101187717358418183e+01, -3.693606557058156170e+01, -4.075811603002621020e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.389999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.500000000000000000e+01, 5.000000000000000000e+01, 9.323057467682080812e+01, -4.155426511094938036e+01, -1.676309565871430429e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.341000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.600000000000000000e+01, 5.000000000000000000e+01, 8.575945043122808897e+01, -2.750259060594043348e+01, -8.256859825287655497e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.505999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.700000000000000000e+01, 5.000000000000000000e+01, 9.074019992828989700e+01, -3.778304447793433951e+01, -2.957155450355555715e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.396000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.800000000000000000e+01, 5.000000000000000000e+01, 9.046852268299562638e+01, -3.755404201915367679e+01, -2.914480663841947816e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.401999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.900000000000000000e+01, 5.000000000000000000e+01, 8.707255711681710864e+01, -3.137648201748234200e+01, -5.696075099334766634e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.476999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+01, 5.000000000000000000e+01, 8.929125462005373493e+01, -3.615242683924005007e+01, -3.138827780813687962e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.428000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.100000000000000000e+01, 5.000000000000000000e+01, 9.074019992828989700e+01, -3.921484068712259585e+01, -1.525359241167303148e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.396000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.200000000000000000e+01, 5.000000000000000000e+01, 8.856678196593564678e+01, -3.522810955530044907e+01, -3.338672410635196819e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.444000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.300000000000000000e+01, 5.000000000000000000e+01, 8.824982517975898588e+01, -3.495009998103977011e+01, -3.299725198719214436e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.451000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.400000000000000000e+01, 5.000000000000000000e+01, 8.870262058858278920e+01, -3.613286160567089667e+01, -2.569758982911894307e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.441000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.500000000000000000e+01, 5.000000000000000000e+01, 8.752535252564089774e+01, -3.414312777093405771e+01, -3.382224754706840475e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.467000000000000171e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.600000000000000000e+01, 5.000000000000000000e+01, 8.870262058858278920e+01, -3.671233361849110821e+01, -1.990286970091679208e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.441000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.700000000000000000e+01, 5.000000000000000000e+01, 8.431050512299191269e+01, -2.854947931551790319e+01, -5.761025807474009497e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.537999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.800000000000000000e+01, 5.000000000000000000e+01, 8.707255711681710864e+01, -3.436555678105374056e+01, -2.707000335763367183e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.476999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.900000000000000000e+01, 5.000000000000000000e+01, 8.811398655711185768e+01, -3.661057197151213671e+01, -1.503414585599718745e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.453999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.000000000000000000e+01, 5.000000000000000000e+01, 8.575945043122808897e+01, -3.227710129439523001e+01, -3.482349136832860736e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.505999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.100000000000000000e+01, 5.000000000000000000e+01, 8.707255711681710864e+01, -3.511450732753780812e+01, -1.958049789279303621e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.476999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.200000000000000000e+01, 5.000000000000000000e+01, 8.811398655711185768e+01, -3.728660634419503594e+01, -8.273802129168210673e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.453999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.300000000000000000e+01, 4.999999999999999289e+01, 8.476330053181571600e+01, -3.099200161009445864e+01, -3.771298921721257802e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.528000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.400000000000000000e+01, 5.000000000000000000e+01, 8.417466650034477027e+01, -3.023920700600618616e+01, -3.935459494338584996e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.541000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.500000000000000000e+01, 5.000000000000000000e+01, 8.476330053181571600e+01, -3.174231461640317775e+01, -3.020985915412536471e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.528000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.600000000000000000e+01, 5.000000000000000000e+01, 8.068814185240150039e+01, -2.428286224862606701e+01, -6.405279603775431596e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.617999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.700000000000000000e+01, 5.000000000000000000e+01, 8.286155981475575061e+01, -2.904170289166602359e+01, -3.819856923089728351e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.569999999999999929e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.800000000000000000e+01, 5.000000000000000000e+01, 8.444634374563904089e+01, -3.242887253171168283e+01, -2.017471213927358065e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.535000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.900000000000000000e+01, 5.000000000000000000e+01, 8.272572119210860819e+01, -2.935155999151062289e+01, -3.374161200597983967e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.573000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
8.000000000000000000e+01, 5.000000000000000000e+01, 8.444634374563904089e+01, -3.295378997526667320e+01, -1.492553770372365252e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.535000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
