tm,MVm,PVm
1.850000000000000000e+02,1.000000000000000000e+00,1.572499999999999731e-01
1.860000000000000000e+02,1.000000000000000000e+00,1.602499999999999203e-01
1.870000000000000000e+02,1.000000000000000000e+00,1.869999999999999163e-01
1.880000000000000000e+02,1.000000000000000000e+00,1.634999999999999787e-01
1.890000000000000000e+02,1.000000000000000000e+00,1.580000000000000016e-01
1.900000000000000000e+02,1.000000000000000000e+00,1.644999999999999518e-01
1.910000000000000000e+02,1.000000000000000000e+00,1.507500000000000229e-01
1.920000000000000000e+02,1.000000000000000000e+00,1.490000000000000213e-01
1.930000000000000000e+02,1.000000000000000000e+00,1.572499999999999731e-01
1.940000000000000000e+02,1.000000000000000000e+00,1.539999999999999147e-01
1.950000000000000000e+02,1.000000000000000000e+00,1.644999999999999518e-01
1.960000000000000000e+02,1.000000000000000000e+00,1.667500000000000371e-01
1.970000000000000000e+02,1.000000000000000000e+00,1.674999999999998990e-01
1.980000000000000000e+02,1.000000000000000000e+00,1.634999999999999787e-01
1.990000000000000000e+02,1.000000000000000000e+00,1.684999999999998721e-01
2.000000000000000000e+02,1.000000000000000000e+00,1.684999999999998721e-01
2.010000000000000000e+02,1.000000000000000000e+00,1.692499999999999005e-01
2.020000000000000000e+02,1.000000000000000000e+00,1.717499999999999305e-01
2.030000000000000000e+02,1.000000000000000000e+00,1.634999999999999787e-01
2.040000000000000000e+02,1.000000000000000000e+00,1.717499999999999305e-01
2.050000000000000000e+02,1.000000000000000000e+00,1.634999999999999787e-01
2.060000000000000000e+02,1.000000000000000000e+00,1.732499999999999873e-01
2.070000000000000000e+02,1.000000000000000000e+00,1.644999999999999518e-01
2.080000000000000000e+02,1.000000000000000000e+00,1.974999999999999534e-01
2.090000000000000000e+02,1.000000000000000000e+00,1.757500000000000173e-01
2.100000000000000000e+02,1.000000000000000000e+00,1.652499999999999802e-01
2.110000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
2.120000000000000000e+02,1.000000000000000000e+00,1.797499999999999376e-01
2.130000000000000000e+02,1.000000000000000000e+00,1.789999999999999092e-01
2.140000000000000000e+02,1.000000000000000000e+00,1.779999999999999361e-01
2.150000000000000000e+02,1.000000000000000000e+00,1.764999999999998792e-01
